n Memory[bytes] unopt[flops/cycle] unvec[flops/cycle] opt[flops/cycle]
100.0 160000.0 0.214081 0.688849 4.072635
200.0 640000.0 0.215362 0.564758 3.44443
300.0 1440000.0 0.216249 0.542152 3.058075
400.0 2560000.0 0.216876 0.53003 3.689656
500.0 4000000.0 0.217827 0.523327 3.462946
600.0 5760000.0 0.217939 0.517207 3.309329
700.0 7840000.0 0.216897 0.511903 3.138107
800.0 10240000.0 0.214306 0.501297 2.758144
900.0 12960000.0 0.211381 0.489167 2.241514
1000.0 16000000.0 0.208922 0.476862 1.948979
1100.0 19360000.0 0.207818 0.471571 1.798267
1200.0 23040000.0 0.207246 0.469504 1.733761
1300.0 27040000.0 0.206599 0.467826 1.670219
1400.0 31360000.0 0.206805 0.466119 1.632794
1500.0 36000000.0 0.206093 0.465477 1.600983
